score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
6.94,28.5,24.0,11796.0,5.0,780.0,1,Adventure,G - All Ages,G - All Ages
6.94,28.5,24.0,9831.0,13.0,1234.0,1,Action,G - All Ages,G - All Ages
6.94,12.0,1.0,5155.0,172.0,8376.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,12.0,23.0,4001.0,140.0,10942.0,2,Comedy,R+ - Mild Nudity,R+ - Mild Nudity
6.94,1.0,23.0,3080.0,178.0,27831.0,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.94,1.0,1.0,10516.0,8.0,1259.0,1,Action,G - All Ages,G - All Ages
6.94,28.5,26.0,6402.0,74.0,3974.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,1.0,8831.0,17.0,2702.0,1,Adventure,G - All Ages,G - All Ages
6.94,1.0,1.0,8409.0,9.000000000000007,2790.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,10.0,2.0,8351.0,63.0,2784.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,28.5,23.0,7949.0,13.0,2192.0,1,Comedy,G - All Ages,G - All Ages
6.94,1.0,24.0,8554.0,2.999999999999993,1578.0,1,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,25.0,6133.0,10.0,4895.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,27.0,24.0,3698.0,152.0,16759.0,2,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.94,16.0,18.0,12993.0,4.0,353.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,6.0,7930.0,1.0,4003.0,1,Fantasy,PG - Children,PG - Children
6.94,1.0,1.0,12912.0,7.0,590.0,1,Comedy,PG - Children,PG - Children
6.94,4.0,28.0,4779.0,76.0,8844.0,2,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,26.0,24.0,1362.0,229.5,37650.25,0,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.93,27.0,22.0,15357.0,1.0,154.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.93,1.0,1.0,14927.0,-7.105427357601002e-15,441.0,1,Fantasy,G - All Ages,G - All Ages
6.93,1.0,54.0,9050.0,13.0,1463.0,1,Comedy,G - All Ages,G - All Ages
6.93,1.0,1.0,9814.0,9.000000000000007,642.0,1,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.93,12.0,24.0,9919.0,15.0,285.0,1,Slice of Life,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.93,2.0,20.0,5031.0,182.0,9991.0,2,Hentai,Rx - Hentai,Rx - Hentai
6.93,3.0,8.0,7090.0,8.0,3745.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.93,2.0,29.0,6715.0,41.0,3893.0,1,Hentai,Rx - Hentai,Rx - Hentai
