score,genres,type,episodes,duration,rating,popularity,favorites,scored_by
7.29,Action,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,4219,141.0,8749.0
7.29,Adventure,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,5535,64.0,2676.0
7.29,Boys Love,PG-13 - Teens 13 or older,1.0,23.0,PG-13 - Teens 13 or older,5176,90.0,6533.0
7.29,Comedy,PG-13 - Teens 13 or older,6.0,10.0,PG-13 - Teens 13 or older,9363,1.0,2191.0
7.29,Comedy,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,5173,76.0,7253.0
7.29,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,846,229.5,37650.25
7.29,Action,PG-13 - Teens 13 or older,2.0,23.0,PG-13 - Teens 13 or older,4505,27.0,16351.0
7.29,Action,R+ - Mild Nudity,12.0,24.0,R+ - Mild Nudity,2439,229.5,37650.25
7.29,Comedy,PG-13 - Teens 13 or older,12.0,11.0,PG-13 - Teens 13 or older,1135,229.5,37650.25
7.29,Drama,G - All Ages,1.0,28.0,G - All Ages,3952,79.0,17044.0
7.29,Drama,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,4594,154.0,7523.0
7.29,Action,R+ - Mild Nudity,8.0,40.0,R+ - Mild Nudity,3013,229.5,17371.0
7.29,Award Winning,G - All Ages,1.0,1.0,G - All Ages,2025,229.5,37650.25
7.29,Adventure,PG-13 - Teens 13 or older,26.0,24.0,PG-13 - Teens 13 or older,6891,38.0,2864.0
7.29,Comedy,PG-13 - Teens 13 or older,3.0,7.0,PG-13 - Teens 13 or older,2725,92.0,35147.0
7.29,Drama,PG-13 - Teens 13 or older,16.0,20.0,PG-13 - Teens 13 or older,8323,33.0,1759.0
7.29,Adventure,PG-13 - Teens 13 or older,1.0,54.0,PG-13 - Teens 13 or older,4935,24.0,10746.0
7.29,Adventure,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,5085,11.0,10014.0
7.29,Comedy,PG-13 - Teens 13 or older,26.0,24.0,PG-13 - Teens 13 or older,2365,229.5,37650.25
7.29,Comedy,PG-13 - Teens 13 or older,28.5,25.0,PG-13 - Teens 13 or older,8954,20.0,1752.0
7.29,unknown,PG-13 - Teens 13 or older,1.0,6.0,PG-13 - Teens 13 or older,5795,13.0,7974.0
7.29,Adventure,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,2414,229.5,33755.0
7.29,Action,G - All Ages,28.5,24.0,G - All Ages,5600,135.0,5491.0
7.29,Adventure,PG-13 - Teens 13 or older,3.0,30.0,PG-13 - Teens 13 or older,6403,10.0,3539.0
7.29,Romance,PG-13 - Teens 13 or older,1.0,26.0,PG-13 - Teens 13 or older,6302,22.0,5125.0
7.29,Drama,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,3261,157.0,23755.0
7.29,Action,PG-13 - Teens 13 or older,1.0,25.0,PG-13 - Teens 13 or older,4983,27.0,9838.0
7.29,Comedy,PG-13 - Teens 13 or older,12.0,11.0,PG-13 - Teens 13 or older,1915,229.5,37650.25
7.29,Action,R+ - Mild Nudity,24.0,23.0,R+ - Mild Nudity,1953,229.5,37650.25
7.29,Action,PG-13 - Teens 13 or older,26.0,24.0,PG-13 - Teens 13 or older,1434,229.5,37650.25
7.29,Action,R - 17+ (violence & profanity),24.0,24.0,R - 17+ (violence & profanity),3018,229.5,23931.0
7.29,Action,R - 17+ (violence & profanity),24.0,23.0,R - 17+ (violence & profanity),4860,94.0,8320.0
7.29,Adventure,PG-13 - Teens 13 or older,3.0,29.0,PG-13 - Teens 13 or older,4969,16.0,10647.0
7.29,Action,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,444,229.5,37650.25
7.28,Comedy,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,2912,161.0,27065.0
7.28,unknown,PG-13 - Teens 13 or older,1.0,4.0,PG-13 - Teens 13 or older,11667,3.0,1273.0
7.28,Adventure,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1311,229.5,37650.25
7.28,Action,PG-13 - Teens 13 or older,1.0,2.0,PG-13 - Teens 13 or older,12397,5.0,558.0
7.28,Hentai,Rx - Hentai,4.0,16.0,Rx - Hentai,4024,229.5,15491.0
7.28,Action,PG-13 - Teens 13 or older,3.0,28.0,PG-13 - Teens 13 or older,7389,14.0,1324.0
7.28,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,2991,35.0,33238.0
7.28,Comedy,G - All Ages,2.0,4.0,G - All Ages,4729,12.0,12524.0
7.28,Sports,G - All Ages,28.5,23.0,G - All Ages,2935,229.5,37650.25
7.28,Action,PG-13 - Teens 13 or older,26.0,23.0,PG-13 - Teens 13 or older,2540,229.5,27934.0
7.28,Adventure,G - All Ages,1.0,1.0,G - All Ages,1676,229.5,37650.25
7.28,unknown,PG - Children,28.5,24.0,PG - Children,7457,49.0,2477.0
7.28,Comedy,PG - Children,1.0,1.0,PG - Children,9109,10.0,2049.0
7.28,Supernatural,G - All Ages,1.0,4.0,G - All Ages,10399,1.0,1611.0
7.28,Comedy,PG-13 - Teens 13 or older,28.5,30.0,PG-13 - Teens 13 or older,3650,54.0,16884.0
7.28,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,927,229.5,37650.25
7.28,Comedy,PG-13 - Teens 13 or older,3.0,9.0,PG-13 - Teens 13 or older,6932,6.0,3723.0
7.28,Supernatural,R - 17+ (violence & profanity),1.0,29.0,R - 17+ (violence & profanity),691,229.5,37650.25
7.28,Action,R - 17+ (violence & profanity),13.0,23.0,R - 17+ (violence & profanity),3674,106.0,15455.0
7.28,Adventure,PG-13 - Teens 13 or older,26.0,24.0,PG-13 - Teens 13 or older,11318,14.0,957.0
7.28,Action,PG-13 - Teens 13 or older,1.0,30.0,PG-13 - Teens 13 or older,3786,46.0,18248.0
7.28,Adventure,G - All Ages,1.0,2.0,G - All Ages,4475,46.0,9192.0
